id,jpn,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,eng10,eng11,eng12,eng13,eng14,eng15,eng16,eng17,eng18,eng19,eng20,eng21,eng22,eng23,eng24,eng25,eng26,eng27,eng28,eng29,eng30,eng31,eng32,eng33,eng34,eng35,eng36,eng37,eng38,eng39,eng40,eng41,eng42,eng43,eng44,eng45,eng46,eng47,eng48,eng49,eng50,eng51,eng52,eng53,eng54,eng55,eng56,eng57,eng58,eng59,eng60,eng61,eng62,eng63,eng64,eng65,eng66,eng67,eng68,eng69,eng70,eng71,eng72,eng73,eng74,eng75,eng76,eng77,eng78,eng79
501,Ｌ;ｌ [エル] ,(n) L,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,あのね(P);あのねえ;あんね;あのさ;あのさあ ,(int) (fam) (fem) look here,I say,well,I know what,I'll tell you what,just a minute,hold on,(P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,おくびにも出さない [おくびにもださない] ,"(exp) not revealing (thoughts, feelings)",not breathing a word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,お誕生会;御誕生会 [おたんじょうかい] ,(n) (See 誕生会) birthday party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,きゅうよ ,(n) (obsc) (uk) (See アルマジロ) armadillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,ごとり ,"(adv-to,adv) (on-mim) thump",clang,clank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,すすり泣く;啜り泣く;啜りなく [すすりなく] ,"(v5k,vi) to sob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,"たちが悪い;タチが悪い;質が悪い [たちがわるい(たちが悪い,質が悪い);タチがわるい(タチが悪い)] ","(exp,adj-i) (ant: たちが良い) of bad character",ill-natured,nasty,vicious,wicked,malignant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4501,とうの昔;疾うの昔;当の昔(iK);唐の昔(iK);遠の昔(iK) [とうのむかし] ,"(exp,n-t) (See 疾っくの昔) a long time ago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,にしては ,"(exp) for (e.g. ""she dances well for an eight-year old"")",considering it's (something or someone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5501,ぴくんぴくん ,"(adv,adv-to,vs) (See ぴくぴく) twitching",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,またの名;又の名 [またのな] ,"(exp,n) alias",another name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6501,よぼよぼ ,"(adj-no,adj-na,vs,adv,adv-to) (on-mim) doddering",tottering,unsteady,shaky,decrepit,infirm,frail,feeble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7001,アイスブリッジ;アイス・ブリッジ ,(n) ice bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7501,アクセス番号 [アクセスばんごう] ,(n) {comp} access number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8001,アット(P);あっと ,(unc) (See アットホーム) at,(P),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8501,アフルエンザ;アフルーエンザ ,(n) affluenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9001,アルカリ長石 [アルカリちょうせき] ,(n) alkali feldspar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9501,アンプリファイアー;アンプリファイア;アンプリファイヤー;アンプリファイヤ ,(n) amplifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,イメチェン ,"(n,vs) (abbr) (See イメージチェンジ) image change",changing one's image,makeover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501,インデックスバッファ;インデックス・バッファ ,(n) {comp} index buffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,ウェッデル海豹 [ウェッデルあざらし;ウェッデルアザラシ] ,(n) (uk) Weddell seal (Leptonychotes weddellii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11501,エイズワクチン;エイズ・ワクチン ,(n) AIDS vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12001,エネルギー源 [エネルギーげん] ,(n) energy source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501,エンドロール ,(n) credits roll (at the end of a show or movie) (wasei: endroll),end credit roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13001,オールドローズ;オールド・ローズ ,(n) old rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13501,オリーブ姫啄木鳥 [オリーブひめきつつき;オリーブヒメキツツキ] ,"(n) (uk) olivaceous piculet (species of bird, Picumnus olivaceus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
